"Ville","Département","Région","Note"
"Soignies (siège) + Mons + Seilles (Andenne)","","Wallonie","Belgique : commune de Soignies"
"Strasbourg","67","Grand Est",""
"Suffolk","","","Ville erronée dans le fichier source de Tom : société niçoise, à corriger avant appel"
"Suisse, Genève","","Suisse","Canton de Genève"
"Suisse, Genève et Yverdon-les-Bains","","Suisse","Genève et Vaud"
"Suisse, Neuchâtel et Genève","","Suisse","Neuchâtel et Genève"
"Sénas","13","Provence-Alpes-Côte d'Azur",""
"Tarbes","65","Occitanie",""
"Tarcienne (Walcourt)","","Wallonie","Belgique : commune de Tarcienne"
"Terrasson-Lavilledieu","24","Nouvelle-Aquitaine",""
"Terssac","81","Occitanie",""
"Toulon","83","Provence-Alpes-Côte d'Azur",""
"Toulouse","31","Occitanie",""
"Tourcoing","59","Hauts-de-France",""
"Tours","37","Centre-Val de Loire",""
"Tremblay-En-France","93","Île-de-France",""
"Troyes","10","Grand Est",""
"Uccle","","Wallonie","Belgique : commune de Uccle"
"Ugine","73","Auvergne-Rhône-Alpes",""
"Val de Briey","54","Grand Est",""
"Valbonne","06","Provence-Alpes-Côte d'Azur",""
"Valence","26","Auvergne-Rhône-Alpes","3 communes homonymes, la plus peuplée retenue (Drôme)"
"Vannes","56","Bretagne",""
"Velaux","13","Provence-Alpes-Côte d'Azur",""
"Verlaine (rue Hamente 14)","","Wallonie","Belgique : commune de Verlaine"
"Vernaison","69","Auvergne-Rhône-Alpes",""
"Vertou","44","Pays de la Loire",""
"Verviers (avenue de Spa 1)","","Wallonie","Belgique : commune de Verviers"
"Villeneuve-Les-Bouloc","31","Occitanie",""
"Villeneuve-Loubet","06","Provence-Alpes-Côte d'Azur",""
"Villers-lès-Nancy","54","Grand Est",""
"Villeurbanne","69","Auvergne-Rhône-Alpes",""
"Vire-Normandie","14","Normandie",""
"Visé, Eupen, Waremme","","Wallonie","Belgique : commune de Visé"
"Vitrolles","13","Provence-Alpes-Côte d'Azur","2 communes homonymes, la plus peuplée retenue (Bouches-du-Rhône)"
"Wailly-Beaucamp","62","Hauts-de-France",""
"Walcourt (rue de la Place Verte 22)","","Wallonie","Belgique : commune de Walcourt"
"Waterloo et Wauthier-Braine","","Wallonie","Belgique : commune de Waterloo et Wauthier-Braine"
"Watermael-Boitsfort","","Bruxelles","Belgique : commune de Watermael-Boitsfort"
"Wavre (avenue Léonard de Vinci 25/3)","","Wallonie","Belgique : commune de Wavre"
"Yutz","57","Grand Est",""
"Zellwiller","67","Grand Est",""
"Épernay","51","Grand Est",""
"Épinal","88","Grand Est",""
